"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "PostCSS", "Batch", "Python", "comment", "blank", "total"
"d:\Libraries\Desktop\harryswebsite\collection-hub\popfigures\popfigures.html", "HTML", 0, 0, 0, 147, 0, 0, 0, 12, 62, 221
"d:\Libraries\Desktop\harryswebsite\collection-hub\shiny-hunts-backup.json", "JSON", 0, 350, 0, 0, 0, 0, 0, 0, 0, 350
"d:\Libraries\Desktop\harryswebsite\collection-hub\sleeves-backup.json", "JSON", 0, 3586, 0, 0, 0, 0, 0, 0, 0, 3586
"d:\Libraries\Desktop\harryswebsite\collection-hub\sleeves\sleeves.html", "HTML", 0, 0, 0, 142, 0, 0, 0, 12, 58, 212
"d:\Libraries\Desktop\harryswebsite\collection-hub\sprites\check_for_sprites.py", "Python", 0, 0, 0, 0, 0, 0, 9, 0, 5, 14
"d:\Libraries\Desktop\harryswebsite\collection-hub\sprites\clean_sprites.py", "Python", 0, 0, 0, 0, 0, 0, 10, 0, 4, 14
"d:\Libraries\Desktop\harryswebsite\collection-hub\sprites\download_sprites.py", "Python", 0, 0, 0, 0, 0, 0, 20, 1, 14, 35
"d:\Libraries\Desktop\harryswebsite\collection-hub\steelbooks-backup.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"d:\Libraries\Desktop\harryswebsite\collection-hub\steelbooks\steelbooks.html", "HTML", 0, 0, 0, 136, 0, 0, 0, 15, 58, 209
"d:\Libraries\Desktop\harryswebsite\collection-hub\style.css", "PostCSS", 0, 0, 0, 0, 2556, 0, 0, 319, 602, 3477
"d:\Libraries\Desktop\harryswebsite\collection-hub\sw.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 47, 14, 161
"d:\Libraries\Desktop\harryswebsite\collection-hub\unsaved-changes.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 29, 31, 164
"d:\Libraries\Desktop\harryswebsite\collection-hub\updateList.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 2, 8, 43
"d:\Libraries\Desktop\harryswebsite\firebase-config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 6, 4, 27
"d:\Libraries\Desktop\harryswebsite\homepage\homepage.css", "PostCSS", 0, 0, 0, 0, 413, 0, 0, 16, 86, 515
"d:\Libraries\Desktop\harryswebsite\homepage\homepage.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 1, 19, 88
"d:\Libraries\Desktop\harryswebsite\index.html", "HTML", 0, 0, 0, 141, 0, 0, 0, 1, 45, 187
"d:\Libraries\Desktop\harryswebsite\latest-film.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Libraries\Desktop\harryswebsite\movie-hub\movie-nav.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 25, 21, 104
"d:\Libraries\Desktop\harryswebsite\movie-hub\moviehub.html", "HTML", 0, 0, 0, 172, 0, 0, 0, 0, 39, 211
"d:\Libraries\Desktop\harryswebsite\movie-hub\wheel\wheel.css", "PostCSS", 0, 0, 0, 0, 487, 0, 0, 24, 83, 594
"d:\Libraries\Desktop\harryswebsite\movie-hub\wheel\wheel.html", "HTML", 0, 0, 0, 119, 0, 0, 0, 0, 42, 161
"d:\Libraries\Desktop\harryswebsite\movie-hub\wheel\wheel.js", "JavaScript", 490, 0, 0, 0, 0, 0, 0, 41, 108, 639
"d:\Libraries\Desktop\harryswebsite\navbar.css", "PostCSS", 0, 0, 0, 0, 299, 0, 0, 0, 58, 357
"d:\Libraries\Desktop\harryswebsite\navbar.html", "HTML", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"d:\Libraries\Desktop\harryswebsite\package.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Libraries\Desktop\harryswebsite\popfigures-generated.json", "JSON", 0, 926, 0, 0, 0, 0, 0, 0, 0, 926
"d:\Libraries\Desktop\harryswebsite\quiz-app-feature-spec.md", "Markdown", 0, 0, 99, 0, 0, 0, 0, 0, 42, 141
"d:\Libraries\Desktop\harryswebsite\quizhub\admin-gate.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 14, 7, 72
"d:\Libraries\Desktop\harryswebsite\quizhub\builder\builder.html", "HTML", 0, 0, 0, 725, 0, 0, 0, 21, 141, 887
"d:\Libraries\Desktop\harryswebsite\quizhub\builder\builder.js", "JavaScript", 1000, 0, 0, 0, 0, 0, 0, 47, 191, 1238
"d:\Libraries\Desktop\harryswebsite\quizhub\data\quiz-loader.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 3, 4, 19
"d:\Libraries\Desktop\harryswebsite\quizhub\data\quiz-registry.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Libraries\Desktop\harryswebsite\quizhub\data\sample-quiz.json", "JSON", 0, 125, 0, 0, 0, 0, 0, 0, 1, 126
"d:\Libraries\Desktop\harryswebsite\quizhub\engine\answer-matching.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 6, 5, 27
"d:\Libraries\Desktop\harryswebsite\quizhub\engine\answer-types.js", "JavaScript", 334, 0, 0, 0, 0, 0, 0, 29, 85, 448
"d:\Libraries\Desktop\harryswebsite\quizhub\engine\media-utils.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 6, 9, 69
"d:\Libraries\Desktop\harryswebsite\quizhub\firebase\firebase-config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"d:\Libraries\Desktop\harryswebsite\quizhub\host-quiz\host-quiz.html", "HTML", 0, 0, 0, 712, 0, 0, 0, 3, 131, 846
"d:\Libraries\Desktop\harryswebsite\quizhub\host-quiz\host-quiz.js", "JavaScript", 1158, 0, 0, 0, 0, 0, 0, 99, 212, 1469
"d:\Libraries\Desktop\harryswebsite\quizhub\import-questions.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 15, 38, 248
"d:\Libraries\Desktop\harryswebsite\quizhub\join\join.html", "HTML", 0, 0, 0, 574, 0, 0, 0, 0, 113, 687
"d:\Libraries\Desktop\harryswebsite\quizhub\join\join.js", "JavaScript", 711, 0, 0, 0, 0, 0, 0, 45, 145, 901
"d:\Libraries\Desktop\harryswebsite\quizhub\manage-quizzes\manage-quizzes.html", "HTML", 0, 0, 0, 285, 0, 0, 0, 0, 55, 340
"d:\Libraries\Desktop\harryswebsite\quizhub\manage-quizzes\manage-quizzes.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 10, 24, 154
"d:\Libraries\Desktop\harryswebsite\quizhub\password-utils.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 5, 1, 11
"d:\Libraries\Desktop\harryswebsite\quizhub\play-test\play-test.html", "HTML", 0, 0, 0, 512, 0, 0, 0, 0, 104, 616
"d:\Libraries\Desktop\harryswebsite\quizhub\play-test\play-test.js", "JavaScript", 574, 0, 0, 0, 0, 0, 0, 54, 124, 752
"d:\Libraries\Desktop\harryswebsite\quizhub\quiz-nav.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 26, 21, 108
"d:\Libraries\Desktop\harryswebsite\quizhub\quizhub.html", "HTML", 0, 0, 0, 212, 0, 0, 0, 0, 57, 269
"d:\Libraries\Desktop\harryswebsite\quizhub\review\review.html", "HTML", 0, 0, 0, 326, 0, 0, 0, 0, 65, 391
"d:\Libraries\Desktop\harryswebsite\quizhub\review\review.js", "JavaScript", 248, 0, 0, 0, 0, 0, 0, 5, 50, 303
"d:\Libraries\Desktop\harryswebsite\quizhub\session-lookup.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 25, 9, 62
"d:\Libraries\Desktop\harryswebsite\quizhub\stats\stats.html", "HTML", 0, 0, 0, 669, 0, 0, 0, 4, 123, 796
"d:\Libraries\Desktop\harryswebsite\quizhub\stats\stats.js", "JavaScript", 819, 0, 0, 0, 0, 0, 0, 73, 176, 1068
"d:\Libraries\Desktop\harryswebsite\scroll-to-top.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 8, 8, 106
"d:\Libraries\Desktop\harryswebsite\sw-nocache.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 17, 5, 35
"Total", "-", 13673, 57522, 138, 5981, 4370, 6, 39, 2810, 6148, 90687
